"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"MALLARD ENERGY STORAGE LLC (RE)","DRAK_ESS_ESR2","Storage","Not Applicable","MALLARD ENERGY STORAGE LLC (DME)","1448488377000","N"
"MARIAH DEL NORTE LLC (RE)","MARIAH_NORTE1","Generation","Not Applicable","MARIAH DEL NORTE LLC (DME)","0798110287000","N"
"MARIAH DEL NORTE LLC (RE)","MARIAH_NORTE2","Generation","Not Applicable","MARIAH DEL NORTE LLC (DME)","0798110287000","N"
"MARK ONE GENERATING LLC (RE)","BCH_UNIT1","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARK ONE GENERATING LLC (RE)","BCH_UNIT2","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARK ONE GENERATING LLC (RE)","BCH_UNIT3","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARK ONE GENERATING LLC (RE)","BCH_UNIT4","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARK ONE GENERATING LLC (RE)","BCH_UNIT5","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARK ONE GENERATING LLC (RE)","BCH_UNIT6","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARK ONE II LLC (RE)","BCH_UNIT7","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARK ONE II LLC (RE)","BCH_UNIT8","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"MARKUM SOLAR FARM LLC (RE)","MRKM_SLR_PV1","Generation","Not Applicable","MARKUM SOLAR FARM LLC (DME)","0165795737000","N"
"MARYNEAL WINDPOWER LLC (RE)","MARYNEAL_UNIT1","Generation","Not Applicable","DERIVA ENERGY SERVICES LLC (DME)","0786769747000","N"
"MATTA POWER STATION LLC (RE)","SGSA_ESR1","Storage","Not Applicable","MATTA POWER STATION LLC (DME)","1287044957000","N"
"MAVERICK CLEAN ENERGY CENTER LLC (RE)","MU_ESR1","Storage","Not Applicable","MAVERICK CLEAN ENERGY CENTER LLC (DME)","1192474997000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_E_UNIT5","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_E_UNIT6","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_E_UNIT7","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_E_UNIT8","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_E_UNIT9","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_W_UNIT1","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_W_UNIT2","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_W_UNIT3","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MAVERICK CREEK WIND LLC (RE)","MAVCRK_W_UNIT4","Generation","Not Applicable","MAVERICK CREEK WIND LLC (DME)","1172245047000","N"
"MCADOO WIND ENERGY LLC (RE)","MWEC_G1","Generation","Not Applicable","INVENERGY WIND DEVELOPMENT LLC (DME)","8085531717000","N"
"MCCRAE WIND ENERGY II LLC (RE)","HARALD_UNIT1","Generation","Not Applicable","MCCRAE WIND ENERGY II LLC (DME)","0805426797000","N"
"MENDOZA TRAIL BESS LLC (RE)","SLK_BESS_ESR1","Storage","Not Applicable","MENDOZA TRAIL BESS LLC (DME)","1194360917000","N"
