RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME
DIVR_SLR_RN,DIVR_SLR,SOLAR2
DKNS_ESS_RN,DKNS_ESS,ESR1
DKNS_ESS_RN,DKNS_ESS,ESR2
DKNS_ESS_RN,DKNS_ESS,ESR3
DKNS_ESS_RN,DKNS_ESS,ESR4
DMA_RN,DMA,SOLAR1
DORA_SLR_RN,DORA_SLR,SOLAR1
DORA_SLR_RN,DORA_SLR,SOLAR2
DOW_61_2_63,DOWGEN,DOW_G61
DOW_61_2_63,DOWGEN,DOW_G63
DOW_64,DOWGEN,DOW_ST64
DOW_81_2_84,DOWGEN,DOW_G81
DOW_81_2_84,DOWGEN,DOW_G82
DOW_81_2_84,DOWGEN,DOW_G83
DOW_81_2_84,DOWGEN,DOW_ST84
DOW_G37_G35,DOWGEN,DOW_G37
DOW_G66_ST65,DOWGEN,DOW_G66
DOW_G66_ST65,DOWGEN,DOW_ST65
DOW_G67,DOWGEN,DOW_G67
DOW_G96_ST95,DOWGEN,DOW_GT96
DOW_G96_ST95,DOWGEN,DOW_ST95
DRAK_ESS_RN,DRAK_ESS,ESR1
DRAK_ESS_RN,DRAK_ESS,ESR2
DRCK_SLR_RN,DRCK_SLR,SOLAR1
DRYFRIO_RN,SUN_SLR,UNIT_1
DSWL_BES1,DSWL_ESS,ESR1
DUKE_GST1CCU,DUKE,DUKE_GT1
DUKE_GST1CCU,DUKE,DUKE_ST1
DUKE_GT2_CCU,DUKE,DUKE_GT2
EBELLS_UNIT1,EBELLSL2,UNIT1
EBELLS_UNIT1,EBELLSLR,UNIT1
EBNY_ESS_RN,EBNY_ESS,ESR1
ECLIPSE_UN1,ECLIPSE,UNIT1
EIFSLR_UNIT1,EIFSLR,UNIT1
ELB_ELBCREEK,ELB,ELBCREEK
ELECTRAW_1_2,DIGBY,UNIT1
ELECTRAW_1_2,DIGBY,UNIT2
ELECTRAW_1_2,LOCKETT,UNIT1
ELMCRK_RN,ELMCRK,ESR1
ELM_ST_RN,ELM_ST,ESR1
ELM_ST_RN2,ELM_ST,ESR2
ELSAUZ_ALL,ELSAUZ,UNIT1
ELSAUZ_ALL,ELSAUZ,UNIT2
ELSA_ESR_RN,ELSA,ESR1
ELS_RN_1,ELLISSLR,UNIT1
ELZA_SLR_RN,ELZA_SLR,ESR1
ELZA_SLR_RN,ELZA_SLR,SOLAR1
EL_RAYO_ALL,EL_RAYO,UNIT1
EL_RAYO_ALL,EL_RAYO,UNIT2
EMPCT_RN,EMPCT,ESR1
ENDPARK_ESS1,ENDPARKS,ESR1
ERKA_SLR_RN,ERKA_SLR,UNIT1
ERSL_RN,ELARA_SL,UNIT1
ESCONDID_ESR,ESCONDID,ESR1
ESTONIAN_ALL,ESTONIAN,ESR1
ESTONIAN_ALL,ESTONIAN,SOLAR1
ESTONIAN_ALL,ESTONIAN,SOLAR2
ETCCS_CCU,ETCCS,CT1
ETCCS_CCU,ETCCS,UNIT1
EUNICE_ALL,EUNICE,ESR1
EUNICE_ALL,EUNICE,PV1
EUNICE_ALL,EUNICE,PV2
EVLN_ESS_RN,EVLN_ESS,ESR1
EXGNSND_RN,EXGNSND,WIND_1
EXGNWTL_1,EXGNWTL,WIND_1
EXN_14,EXN,EXN_G14
EXN_1_3,EXN,EXN_G1
EXN_1_3,EXN,EXN_G2
EXN_1_3,EXN,EXN_G3
EXN_4,EXN,EXN_G4
EXN_8,EXN,EXN_G15
EXN_8,EXN,EXN_G8
EXN_9_13,EXN,EXN_G10
EXN_9_13,EXN,EXN_G11
EXN_9_13,EXN,EXN_G12
EXN_9_13,EXN,EXN_G13
EXN_9_13,EXN,EXN_G9
E_BLACK_RN,E_BLACK,UNIT_1
E_HARRIS_RN,E_HARRIS,ESR1
FAGUSSLR_RN,FAGUSSLR,UNIT2
FAGUSSLR_RN,FAGUSSLR,UNIT3
FALFUR_RN,FALFUR,ESR1
FALFUR_RN2,FALFUR,ESR2
FAL_FALCONG1,FALCON,FALCONG1
FAL_FALCONG2,FALCON,FALCONG2
FAL_FALCONG3,FALCON,FALCONG3
FAULKNER_RN,FAULKNER,ESR1
FEGC_RN,FEGC,CTG2
FEGC_RN,FEGC,CTG3
FEGC_RN,FEGC,CTG4
FEGC_RN,FEGC,UNIT1
FENCESLR_ALL,FENCESLR,ESR1
FENCESLR_ALL,FENCESLR,SOLAR1
FENCESLR_ALL,FENCESLR,SOLAR2
FERD_ESS_RN,FERD_ESS,ESR1
FERGCC_GT1_1,FERGCC,FERGGT1
FERGCC_GT2_3,FERGCC,FERGGT2
FERGCC_ST1_5,FERGCC,FERGST1
FERMI_ALL,FERMI,WIND1
FERMI_ALL,FERMI,WIND2
FILESSLR_PV1,FILESSLR,PV1
FIVEWSLR_ALL,FIVEWSLR,ESR1
FIVEWSLR_ALL,FIVEWSLR,UNIT1
FIVEWSLR_ALL,FIVEWSLR,UNIT2
FLCNS_UNIT1,FLCNS,UNIT1
FLCNS_UNIT2,FLCNS,UNIT2
FLOWERII_RN,FLOWERII,ESR1
FLTBES1,FLAT_TOP,ESR1
FLTCK_SSI,FLTCK,SSI
FLUVANNA_1_2,FLUVANNA,UNIT1
FLUVANNA_1_2,FLUVANNA,UNIT2
FLUVANNA_1_2,GOPHER,UNIT1
FLUVANNA_1_2,GOPHER,UNIT2
FLVABES1_ESR,FLAT_TOP,ESR2
FOARDCTY_ALL,FOARDCTY,UNIT1
FOARDCTY_ALL,FOARDCTY,UNIT2
FORTMA_RN,FORTMA,ESR1
FOXTROT_ALL,FOXTROT,UNIT1
FOXTROT_ALL,FOXTROT,UNIT2
FOXTROT_ALL,FOXTROT,UNIT3
FO_FORMOSA11,FORMOSA,FORMOSG11
FO_FORMOSA12,FORMOSA,FORMOSG12
FO_FORMOSG1,FORMOSA,FORMOSG1
FO_FORMOSG10,FORMOSA,FORMOSG10
FO_FORMOSG13,FORMOSA,FORMOSG13
FO_FORMOSG14,FORMOSA,FORMOSG14
FO_FORMOSG15,FORMOSA,FORMOSG15
FO_FORMOSG2,FORMOSA,FORMOSG2
FO_FORMOSG3,FORMOSA,FORMOSG3
FO_FORMOSG4,FORMOSA,FORMOSG4
FO_FORMOSG5,FORMOSA,FORMOSG5
FO_FORMOSG6,FORMOSA,FORMOSG6
FO_FORMOSG7,FORMOSA,FORMOSG7
FO_FORMOSG8,FORMOSA,FORMOSG8
FO_FORMOSG9,FORMOSA,FORMOSG9
FPPYD_FPP_G1,FPPYD1,FPP_G1
FPPYD_FPP_G2,FPPYD1,FPP_G2
FPPYD_FPP_G3,FPPYD2,FPP_G3
FREC_1_CCU,FREC,GT1
FREC_1_CCU,FREC,GT2
FREC_1_CCU,FREC,ST3
FREC_2_CCU,FREC,GT4
FREC_2_CCU,FREC,GT5
FREC_2_CCU,FREC,ST6
FRMRSVLW_RN,FRMRSVLW,ESR1
FRMR_BS2_RN1,FRMRSVLW,ESR2
FRNYPP_1_CCU,FRNYPP,GT11
FRNYPP_1_CCU,FRNYPP,GT12
FRNYPP_1_CCU,FRNYPP,GT13
FRNYPP_1_CCU,FRNYPP,ST10
FRNYPP_2_CCU,FRNYPP,GT21
FRNYPP_2_CCU,FRNYPP,GT22
FRNYPP_2_CCU,FRNYPP,GT23
FRNYPP_2_CCU,FRNYPP,ST20
FRONT_EC_RN1,FRONT_EC,ST
FRONT_EC_RN2,FRONT_EC,CT1
FRONT_EC_RN3,FRONT_EC,CT2
FRYE_SLR_ALL,FRYE_SLR,UNIT1
FRYE_SLR_ALL,FRYE_SLR,UNIT2
FTDUNCAN_RN,FTDUNCAN,ESR1
FTR_FTR_G1_4,FTR,FTR_G1
FTR_FTR_G1_4,FTR,FTR_G2
FTR_FTR_G1_4,FTR,FTR_G3
FTR_FTR_G1_4,FTR,FTR_G4
FTWIND_UNIT1,FTWIND,UNIT_1
FWLR_SLR_1,FWLR_SLR,UNIT1
GAIA_SLR_RN,GAIA_SLR,ESR1
GAIA_SLR_RN,GAIA_SLR,SOLAR1
GALO_RN1,GALLOWAY,SOLAR1
GALO_RN1,GALLOWAY,SOLAR2
GAMBIT_RN,GAMBIT,ESR1
GARC_BESS_RN,GARCENO,ESR1
GBY_GT,GBY,GBYGT73
GBY_GT,GBY,GBYGT74
GBY_GT,GBY,GBYGT81
GBY_GT,GBY,GBYGT82
GBY_GT,GBY,GBYGT83
GBY_GT,GBY,GBYGT84
GID_GIDEONG1,GIDEON,GIDEONG1
