SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
06/25/2026 00:40:18,N,FERD_ESS_RN,       27.10
06/25/2026 00:40:18,N,FERGCC_CC1,       27.06
06/25/2026 00:40:18,N,FERGCC_GT1_1,       27.06
06/25/2026 00:40:18,N,FERGCC_GT2_3,       27.06
06/25/2026 00:40:18,N,FERGCC_ST1_5,       27.06
06/25/2026 00:40:18,N,FERMI_ALL,       23.95
06/25/2026 00:40:18,N,FILESSLR_PV1,       27.49
06/25/2026 00:40:18,N,FIVEWSLR_ALL,       27.28
06/25/2026 00:40:18,N,FLCNS_UNIT1,       28.75
06/25/2026 00:40:18,N,FLCNS_UNIT2,       28.75
06/25/2026 00:40:18,N,FLCNS_UNIT3,       28.75
06/25/2026 00:40:18,N,FLOWERII_RN,       31.02
06/25/2026 00:40:18,N,FLTBES1,       31.02
06/25/2026 00:40:18,N,FLTCK_SSI,       27.51
06/25/2026 00:40:18,N,FLUVANNA_1_2,       27.99
06/25/2026 00:40:18,N,FLVABES1_ESR,       31.02
06/25/2026 00:40:18,N,FOARDCTY_ALL,       27.80
06/25/2026 00:40:18,N,FORMOSA_CC1,       26.67
06/25/2026 00:40:18,N,FORMOSA_CC2,       26.67
06/25/2026 00:40:18,N,FORMOSA_PUN1,       26.67
06/25/2026 00:40:18,N,FORMOSA_PUN2,       26.67
06/25/2026 00:40:18,N,FORTMA_RN,       26.73
06/25/2026 00:40:18,N,FOXTROT_ALL,       26.55
06/25/2026 00:40:18,N,FO_FORMOSA11,       26.67
06/25/2026 00:40:18,N,FO_FORMOSA12,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG1,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG10,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG13,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG14,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG15,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG2,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG3,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG4,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG5,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG6,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG7,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG8,       26.67
06/25/2026 00:40:18,N,FO_FORMOSG9,       26.67
06/25/2026 00:40:18,N,FPPYD_FPP_G1,       27.11
06/25/2026 00:40:18,N,FPPYD_FPP_G2,       27.11
06/25/2026 00:40:18,N,FPPYD_FPP_G3,       27.10
06/25/2026 00:40:18,N,FREC_1_CCU,       27.42
06/25/2026 00:40:18,N,FREC_2_CCU,       27.42
06/25/2026 00:40:18,N,FREC_CC1,       27.42
06/25/2026 00:40:18,N,FREC_CC2,       27.42
06/25/2026 00:40:18,N,FRMRSVLW_RN,       27.51
06/25/2026 00:40:18,N,FRMR_BS2_RN1,       27.51
06/25/2026 00:40:18,N,FRNYPP_1_CCU,       27.49
06/25/2026 00:40:18,N,FRNYPP_2_CCU,       27.49
06/25/2026 00:40:18,N,FRNYPP_CC1,       27.49
06/25/2026 00:40:18,N,FRNYPP_CC2,       27.49
06/25/2026 00:40:18,N,FRONT_EC_CC1,       24.37
06/25/2026 00:40:18,N,FRONT_EC_RN1,       24.37
06/25/2026 00:40:18,N,FRONT_EC_RN2,       24.37
06/25/2026 00:40:18,N,FRONT_EC_RN3,       24.37
06/25/2026 00:40:18,N,FRYE_SLR_ALL,       27.88
06/25/2026 00:40:18,N,FTDUNCAN_RN,       30.27
06/25/2026 00:40:18,N,FTR_CC1,       27.25
06/25/2026 00:40:18,N,FTR_FTR_G1_4,       27.25
06/25/2026 00:40:18,N,FTWIND_UNIT1,       27.34
06/25/2026 00:40:18,N,FWLR_SLR_1,       32.35
06/25/2026 00:40:18,N,GAIA_SLR_RN,       27.45
06/25/2026 00:40:18,N,GALO_RN1,       26.98
06/25/2026 00:40:18,N,GAMBIT_RN,       27.08
06/25/2026 00:40:18,N,GARC_BESS_RN,       23.67
06/25/2026 00:40:18,N,GBY_GT,       27.16
06/25/2026 00:40:18,N,GID_GIDEONG1,       27.12
06/25/2026 00:40:18,N,GID_GIDEONG2,       27.12
06/25/2026 00:40:18,N,GID_GIDEONG3,       27.12
06/25/2026 00:40:18,N,GIGA_ESS_RN,       27.14
06/25/2026 00:40:18,N,GKS_BESS_RN,       24.55
06/25/2026 00:40:18,N,GOA_GOATWIND,       27.53
06/25/2026 00:40:18,N,GODY_SLR_RN,       27.52
06/25/2026 00:40:18,N,GOLINDA_UN1,       27.35
06/25/2026 00:40:18,N,GOMZ_RN,       31.41
06/25/2026 00:40:18,N,GOODNIT1_ALL,       27.87
06/25/2026 00:40:18,N,GOODWIN_ESR,       24.29
06/25/2026 00:40:18,N,GPASTURE_ALL,       27.74
06/25/2026 00:40:18,N,GRANDVW1_A_B,       27.87
06/25/2026 00:40:18,N,GRAN_SLR_RN,       27.20
06/25/2026 00:40:18,N,GRDNE_ESR_RN,       29.27
06/25/2026 00:40:18,N,GREASWOD_ALL,       31.98
06/25/2026 00:40:18,N,GREGORY_RN,       26.08
06/25/2026 00:40:18,N,GRIF_TRL_RN,       27.80
06/25/2026 00:40:18,N,GRIM_SLR_RN,       27.27
06/25/2026 00:40:18,N,GRND_SLR_RN,       31.73
06/25/2026 00:40:18,N,GRSES_UNIT1,       27.67
06/25/2026 00:40:18,N,GRSES_UNIT2,       27.68
06/25/2026 00:40:18,N,GRYH_SLR_RN,       29.99
06/25/2026 00:40:18,N,GUADG_CC1,       27.06
06/25/2026 00:40:18,N,GUADG_CC2,       27.06
06/25/2026 00:40:18,N,GUADG_CCU1,       27.06
06/25/2026 00:40:18,N,GUADG_CCU2,       27.06
06/25/2026 00:40:18,N,GUNMTN_NODE,       28.58
06/25/2026 00:40:18,N,GWEC_G1,       27.21
06/25/2026 00:40:18,N,GZ_RN,       27.17
06/25/2026 00:40:18,N,HALO_RN1,       27.28
